Prod_id,Ship_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Product_Category,Product_Sub_Category,Customer_Name,Province,Region,Customer_Segment,Order_ID,Ship_Mode,Ship_Date,Year_Month
Prod_16,SHP_7609,136.81,0.01,23,-30.51,3.6,0.56,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",AARON BERGMAN,ALBERTA,WEST,CORPORATE,36262,REGULAR AIR,2010-07-28,2010-07
Prod_13,SHP_7549,42.27,0.01,13,4.56,0.93,0.54,OFFICE SUPPLIES,PENS & ART SUPPLIES,AARON BERGMAN,ALBERTA,WEST,CORPORATE,20513,EXPRESS AIR,2009-07-08,2009-07
Prod_6,SHP_7625,2337.89,0.09,43,729.34,14.3,0.37,OFFICE SUPPLIES,PAPER,AARON BERGMAN,ALBERTA,WEST,CORPORATE,39682,EXPRESS AIR,2010-11-11,2010-11
Prod_6,SHP_7608,164.02,0.03,23,-47.64,6.15,0.37,OFFICE SUPPLIES,PAPER,AARON BERGMAN,ALBERTA,WEST,CORPORATE,36262,EXPRESS AIR,2010-07-28,2010-07
Prod_17,SHP_7664,4233.15,0.05,35,1219.87,26.3,0.38,TECHNOLOGY,OFFICE MACHINES,AARON BERGMAN,ALBERTA,WEST,CORPORATE,54019,DELIVERY TRUCK,2009-07-08,2009-07
Prod_16,SHP_4112,305.05,0.04,27,23.12,3.37,0.57,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",AARON HAWKINS,ONTARIO,ONTARIO,HOME OFFICE,37863,REGULAR AIR,2011-02-26,2011-02
Prod_16,SHP_7663,322.82,0.05,35,-17.58,3.98,0.56,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,53026,REGULAR AIR,2012-03-03,2012-03
Prod_4,SHP_7588,337.2035,0.05,9,-120.93,4.99,0.56,TECHNOLOGY,TELEPHONES AND COMMUNICATION,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,31399,REGULAR AIR,2011-11-06,2011-11
Prod_4,SHP_7632,175.8565,0.03,10,-93.26,1.25,0.83,TECHNOLOGY,TELEPHONES AND COMMUNICATION,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,40838,REGULAR AIR,2012-11-27,2012-11
Prod_17,SHP_7671,754.92,0.0,7,-129.57,19.99,0.52,TECHNOLOGY,OFFICE MACHINES,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,56706,REGULAR AIR,2009-11-11,2009-11
